Signature_genes	cardiac_muscle_cell	cardiac_neuron	endocardial_cell	endothelial_cell	fibroblast	leukocyte	myofibroblast_cell	smooth_muscle_cell
ENSG00000234745.5	0.6899449	4.0840047	4.1869096	4.1860724	2.9430191	4.3523114	2.3228188	1.615234
ENSG00000109610.5	0.12451005	0.52769186	0.60026694	0.04378009	2.29957569	0.01975702	2.30091678	1.35004537
ENSG00000101335.5	0.99461254	0.66515183	0.10741413	0.06190769	0.5020474	0.03106472	2.26862239	4.20562536
ENSG00000108387.10	0.193393614	0.466698755	0.755479142	1.435050301	0.229389801	0.005627511	2.264063917	0.300573924
ENSG00000169908.6	0.1957496	0.6274719	4.5858483	2.465965	0.93485	0.0497515	2.2490712	1.8880113
ENSG00000149564.7	0.213422437	0.159588571	2.027278673	2.896066933	0.020349497	0.000892441	2.23347764	1.151286853
ENSG00000117152.9	0.044713824	0	0	0.014003948	0.006842509	8.77656E-05	2.219855903	2.811444067
ENSG00000187513.8	0.05013887	0	0.720651778	0.102718269	0.036453547	0.00021185	2.196499317	2.186449833
ENSG00000131097.2	0.018156769	0	0.000241092	0.007876037	0.000636701	0	2.168801301	0.987328926
ENSG00000156219.12	1.79207347	2.13602003	0.04227156	0.45600935	0.06536921	0.04069728	2.09910844	0.63266119
ENSG00000113721.9	0.015535127	0.001927546	0.057183358	0.028283067	0.393031783	0	2.098787786	1.534223121
ENSG00000106819.7	0.017990522	0	0.000233561	0.003637757	0.335320278	0.000704558	2.073103072	1.42069272
ENSG00000116285.8	0.153015589	0.009061396	0.186917023	0.121723722	1.202232602	0.092078885	2.072031837	2.864643523
ENSG00000091986.11	0.148838154	0.024458487	2.058078745	0.110198314	4.096636785	0.005742823	2.052586027	0.869924596
ENSG00000170323.4	0.32526035	0.002642586	0.528705337	4.081326367	0.038323358	0.011112841	2.041259833	0.820602403
ENSG00000166710.13	0.5179906	2.7795283	2.9615707	3.5606681	2.384555	3.4231942	2.0075037	1.1040192
ENSG00000102804.10	1.6094753	0.0150675	2.0329198	2.1122924	0.8582626	0.1622607	1.9888395	2.7193503
ENSG00000109472.9	1.145497472	0.004981761	3.429979845	0.158925195	1.017310851	0.013838955	1.987210607	1.537252316
ENSG00000198668.6	1.042733	1.695688	2.240793	2.893949	1.537735	2.543632	1.956873	2.303036
ENSG00000182492.11	0.2025412	0.94497663	2.81868334	0.09983987	2.93711202	0.0461239	1.93905885	1.46417909
ENSG00000185633.6	0.020394571	0	0.025209307	0.020215396	0.232611588	0.000176565	1.931809709	1.149221263
ENSG00000213145.5	0.1690493	2.0134985	1.4830259	1.0245018	1.3001671	1.8038461	1.9189483	3.0925079
ENSG00000092841.14	0.5691445	1.5240607	1.5646423	2.1240664	1.4562013	1.6065741	1.892007	3.1449613
ENSG00000111348.4	0.103502383	0.001664448	1.322614747	0.149977391	0.401937917	2.372582172	1.890588974	0.246696623
ENSG00000129244.4	0.128051871	1.235047356	0.000423188	0.082124864	0.178305807	0.000422616	1.889528785	2.412471401
ENSG00000161544.5	0.064258027	0.001498604	0.013533347	0.015262591	1.379888147	0.020059283	1.884049325	0.57224928
ENSG00000131055.4	6.98E-02	6.64E-02	9.32E-05	3.29E-02	3.91E-02	0.00E+00	1.88E+00	1.52E+00
ENSG00000123689.5	0.323306468	0.903251316	0.468210383	0.004529671	0.601876004	0.011583724	1.856662172	0.003344652
ENSG00000106538.5	0.09380857	2.37114273	0.03318782	0.03821367	1.44430098	0.01866158	1.85555614	1.19989825
ENSG00000133110.10	0.000394135	2.35099249	0.704219184	0.014491712	0.144181343	0.017821754	1.783502254	0.003962433
ENSG00000140416.15	4.1518379	0.4542455	0.7247912	1.3435159	0.8454029	0.3591297	1.7828318	3.6840224
ENSG00000100097.7	0.7384852	1.244604	0.3201323	0.2605033	1.796251	1.4687214	1.7613399	1.7118991
ENSG00000134871.13	0.21603715	0.83571606	0.16345279	1.83937594	0.53731516	0.03113119	1.76002348	1.04001285
ENSG00000114023.11	0.5010887	0.2027645	1.0411763	0.170735	0.3250228	0.2389096	1.7462503	0.4591883
ENSG00000148180.12	0.8144462	3.1918177	0.511181	0.2010004	6.4325616	1.1403791	1.7153368	2.5007752
ENSG00000169756.12	0.3645085	0.6446658	0.6915661	0.6559734	0.3812697	0.4750533	1.7144373	1.1799055
ENSG00000128641.13	0.042611067	0	0.073107096	0.585428559	0.027176068	0.005473669	1.70108096	0.305638368
ENSG00000163536.8	0.057913762	0	0.000269911	0.051362779	0.074328699	0	1.683080838	1.118929508
ENSG00000090006.13	0.28281054	0.80319098	2.0909442	1.46278763	2.32886161	0.06066211	1.68231177	0.21085122
ENSG00000127920.5	0.18663767	0.27513205	1.0954691	1.85628353	0.36557176	0.02433419	1.680156	1.34499656
ENSG00000107796.8	0.263138777	0.002247684	0.00418959	0.017554207	0.116687396	0.015631324	1.656060696	5.69528509
ENSG00000135046.9	0.1145665	2.4828868	0.3176999	0.2512944	1.8069722	0.7892342	1.6491479	0.6051422
ENSG00000136859.5	0.3227569	1.5439228	0.1965838	0.0122915	0.3648547	0	1.6487173	0.4495976
ENSG00000099250.13	0.3502007	0.7651987	2.6060537	2.6900172	1.0789733	1.1646246	1.6190411	0.4689445
ENSG00000176340.3	1.1723574	0.726995	1.0483314	0.8260232	0.8895416	0.9760002	1.616174	1.9965615
ENSG00000114450.5	0.04686664	0.57619669	0.55016948	0.40638726	0.27904858	0.04633254	1.60328827	0.1223322
ENSG00000084234.12	0.9616765	1.408701	3.4424453	2.2950515	1.3901492	1.0975431	1.5934785	1.7986471
ENSG00000198467.9	0.461102881	0.065964555	0.014204596	0.044574733	0.245186234	0.009971064	1.556070663	3.461003213
ENSG00000135919.8	0.423344709	1.65718315	0.484160933	0.049734257	1.082726061	0.002498266	1.54254986	2.297918624
ENSG00000142089.11	0.001574407	0	0.03029882	0.016664288	0.008725023	0.000186937	1.537197128	0.083477174
ENSG00000171862.5	0.08425483	0.60835333	0.26673401	0.34503806	0.41547626	0.55002381	1.52739793	0.61993268
ENSG00000106333.8	0.310428212	0.45166759	0.007276629	0.215270678	1.623746778	0.061656287	1.486672158	0.483159158
ENSG00000213694.3	0.044802189	0.050957154	0.000348918	0.004176349	0.532218308	5.84692E-05	1.469307181	1.51305151
ENSG00000185551.8	0.186311809	0.656935474	1.253607585	0.082176851	0.309667104	0.007360811	1.468622494	1.916093406
ENSG00000168386.14	0.1771062	0.4193906	0.199486	0.5084974	0.4441353	0.4810762	1.4597679	2.4825075
ENSG00000163788.9	0.1602504	0.4310787	0.5631816	2.1213561	0.2431996	0.2229333	1.4559654	1.0803722
ENSG00000117318.8	0.2115573	1.5771271	2.7476231	2.181752	0.9306675	0.2676434	1.4526811	1.8420468
ENSG00000118729.10	1.796509265	0	0	0.003188275	0.000510781	0.000121657	1.443225432	1.631387327
ENSG00000197956.5	0.08379059	1.81645689	0.31754126	0.44922135	1.74909868	0.3852678	1.44101351	0.7115063
ENSG00000135678.7	0.000306818	0	0	0.054305034	0.037691515	0	1.437995591	0.001155204
ENSG00000142156.10	0.050316891	1.078685566	0.042861404	0.026904764	1.588257908	0.010062087	1.431468315	0.005332721
ENSG00000184060.6	0.01344774	0	0.00183501	0.01305332	0.22308732	0.99916395	1.42703364	0.73260496
ENSG00000065534.14	0.04987078	0.02355328	0.1405274	0.3929557	0.02702619	0.20768248	1.426038	3.12651691
ENSG00000163909.6	0.078775296	0	0.03827132	0.026271615	1.005268915	0.001133945	1.424050603	0.320015514
ENSG00000073712.9	0.49397586	0.63255488	0.58752444	0.8884974	0.42841448	0.03235025	1.40676715	1.06724753
ENSG00000157368.6	0.001952729	0.6696597	0	0	0.003846265	0	1.404362528	0.090201979
ENSG00000142173.10	0.03624389	0.37792033	0.02819128	0.04791128	1.50011374	0.01282725	1.38014527	0.17665438
ENSG00000135424.11	0.29321826	0.161925617	0	0.006462877	0.005978994	0	1.37096676	1.079666915
ENSG00000106991.9	0.2055767	1.3488548	4.0661174	2.517896	0.6464831	0.2401052	1.3675229	0.2784282
ENSG00000244274.3	0.107043	0.654786	0.211124	0.3301531	0.2253186	0.2166716	1.3626527	0.8703592
ENSG00000182963.5	0.06255521	0.27675092	0	0.21264476	0.07430392	0	1.34992764	1.49259369
ENSG00000174944.4	0	0	0.000961542	0.000314997	0.016461415	0.046758574	1.349644444	0.13772251
ENSG00000134802.13	0.13092148	1.55657185	1.35097929	1.40467279	2.28679032	0.05541619	1.34706133	0.17269037
ENSG00000213949.4	0.183883755	0.516237324	0.106568136	1.13845087	0.049177258	0.007347596	1.343988161	0.523444428
ENSG00000178878.8	0.09929743	0	0.47775566	1.57806103	0.00972151	0.022342	1.34296998	0.46114863
ENSG00000173546.7	3.21E-02	9.16E-01	0.00E+00	7.97E-05	4.02E-03	0.00E+00	1.32E+00	2.66E-01
ENSG00000168434.8	0.1970282	0.627904	0.1816968	0.1113638	0.2148983	0.1246218	1.2958447	0.1531761
ENSG00000163430.5	0.22125601	1.71955388	1.5334249	0.25839465	2.52769719	0.03433359	1.29460106	0.51128338
ENSG00000109079.5	0.3153934	0.4497422	1.0918513	1.6866864	0.3233898	0.2481722	1.2943855	0.6548816
ENSG00000144791.5	0.1264752	0.0996798	0.1472844	0.1210884	0.188566	0.1907517	1.2925032	1.0728487
ENSG00000143369.10	0.1083602	0.1301523	1.4116879	0.1767088	1.9504638	0.4729587	1.2745814	0.8714739
ENSG00000133030.15	0.4128361	0.3250619	0.4233733	0.7986844	0.416401	0.156517	1.2699191	1.0221667
ENSG00000116962.10	0.11580277	1.0200775	0.45950205	0.65156555	1.54223444	0.02221102	1.24037038	0.31863991
ENSG00000221869.4	0.04689872	1.43293579	1.16370755	0.45824445	1.83353531	0.62247743	1.23958103	0.42869093
ENSG00000187244.6	0.405401781	0.219084715	1.198110878	1.465629499	0.053462469	0.008304763	1.23912741	2.915617275
ENSG00000135218.13	1.666141778	0.002487266	0.171815499	3.962950126	0.019958238	1.140697941	1.216090379	0.618216364
ENSG00000142973.8	0.045277856	0.001927546	0.004698044	1.701774254	0.008662032	0.003136486	1.207902233	0.003353748
ENSG00000126785.8	0.12065867	0.33677763	1.20012679	0.70996485	1.62895082	0.09590862	1.19799501	1.390269
ENSG00000103710.6	0.068128485	0.198417621	0.000172698	0.010646193	0.078805058	0	1.195478906	1.532081688
ENSG00000074181.4	0.004903828	0	0	0.016669774	0.008983142	0	1.192500406	0.828798823
ENSG00000024422.7	0.11812978	0.75686391	1.20188667	2.31677282	0.94209315	0.01384222	1.1850581	1.22174035
ENSG00000128656.9	0.18166658	0	0.06774336	0.01294728	0.04131179	0.01650762	1.17969628	0.43923311
ENSG00000018625.10	0.530915662	0.989904251	0.018320766	0.008701279	0.775915731	0.034978588	1.178170681	0.85460279
ENSG00000180447.5	0.074921202	0.313789853	0.018874655	0.00804044	1.569865026	0.002038535	1.177867943	0.265260727
ENSG00000068831.14	0.05734309	0.09542297	0.0145856	0.28347807	0.01139923	0.11017508	1.17685464	0.25183828
ENSG00000146072.6	0.008095007	0.001927546	0.095622205	0.352905274	0.014575267	0.142774549	1.167840669	0.014660517
ENSG00000109861.11	0.257587873	0.581159052	0.018819646	0.022632666	0.023758481	3.115316469	1.160013434	0.005332721
ENSG00000144837.4	0	0	0.000254775	0.013096886	0.241701301	0.019964359	1.136034932	0
ENSG00000076706.10	0.112883152	1.378899368	0.388999537	0.524667409	0.002279134	0.023822649	1.105644744	1.074165873
ENSG00000116016.9	0.31183225	0	0.70032967	1.51162565	0.14071796	0.02340228	1.09394949	1.18781756
ENSG00000112759.12	0.3370216	0.2729716	0.9915011	0.5026195	1.6504997	0.8507157	1.0915381	0.6055048
ENSG00000176463.9	0.65143667	0.32001304	0.46373193	0.10214941	0.2814613	0.07837388	1.08789359	0.80354456
ENSG00000151617.11	0.289721791	0	0	0.000425337	0.070024722	0	1.087077322	0.776536476
ENSG00000109099.9	0.2384644	2.7301148	0.963655	0.3234288	2.3776323	1.3178017	1.0824286	0.6626705
ENSG00000099282.5	0.075961427	2.026864276	0.004595518	0.647478537	0.015874699	0.000103976	1.068320673	0
ENSG00000167601.7	0.14066709	0.7271337	0.16560089	0.03576934	1.30847099	0.36772767	1.05922753	0.63354814
ENSG00000143878.8	0.09775612	0.5070359	0.21553371	0.66429491	0.27417221	0.34449634	1.05218144	0.42274466
ENSG00000091972.14	0.09450351	1.55417073	1.76891595	2.07142181	0.35525785	0.02065006	1.04907893	2.03860361
ENSG00000213160.5	0.06422769	0	0.02825844	0.01591569	0.02764914	0	1.04464704	0.69974851
ENSG00000164330.12	0.050266396	0	0.583955465	0.384708821	0.505928712	0.001199036	1.04365166	1.430188241
ENSG00000175084.7	1.76047425	0	0.07560561	0.09965103	0.06071678	0.03523806	1.0319697	2.48268345
ENSG00000127540.7	2.1515039	0.7078274	1.0078312	0.7980109	0.6267573	0.7542881	1.0284506	1.5822908
ENSG00000110237.3	0.214582803	0.154543026	0.067580807	0.007518943	0.066923471	0	1.025626246	0.681610649
ENSG00000166033.7	0.61246553	0.52162321	0.51568489	0.11162663	1.13743764	0.02274042	1.01386346	0.64124409
ENSG00000184232.4	0.026458713	0.298424433	0.876810627	0.031984078	0.957760894	0.004958688	1.010231997	0
ENSG00000101384.7	0.02876268	0.73792198	0.43124758	0.23165502	0.25513728	0.07356075	1.00822166	1.08489534
ENSG00000120594.12	0.02311801	0.48323083	0.0718345	0.01057408	0.71957036	0.1168029	0.99044066	0.26325742
ENSG00000169439.7	0.1670022	0.57591042	0.17366738	0.02653446	1.33867482	0.01018035	0.98488625	1.16187022
ENSG00000164741.10	0.21920781	0.63499485	0.32572578	0.66039185	0.23717812	0.02839597	0.98055368	0.68041108
ENSG00000088320.3	0.008735367	0.304911369	0.069324519	0.007831973	0.215457819	0.015553925	0.975074767	0.032084508
ENSG00000187800.9	0.068647176	0	0.409033782	0.263406144	0.159749461	0.008795976	0.962258417	0.807531801
ENSG00000162599.11	0.3128364	0.8923761	1.7142248	0.4918659	1.5785116	0.1217703	0.9419454	0.5117908
ENSG00000134954.10	0.09350959	0.39488593	0.59926989	1.62635622	0.18081868	0.16547967	0.9339447	0.30289117
ENSG00000106565.13	0.4720832	1.3041843	2.1167386	0.4966631	0.156502	2.6715011	0.9328898	0.5688004
ENSG00000180785.8	0.019464202	0	0	0	0.001897912	0	0.931845952	2.353084559
ENSG00000131620.13	0.008932924	0	0	0.003789606	0.005076181	0	0.92479009	1.105614625
ENSG00000179772.6	0	0	0.00276068	0.02477234	0.24962451	0	0.91097459	1.05021486
ENSG00000138792.5	6.14E-03	0.00E+00	3.99E-02	1.75E-02	3.44E-02	6.51E-05	9.06E-01	2.38E-01
ENSG00000134533.2	1.35E-03	1.74E-01	1.06E-02	2.12E-02	3.25E-05	0.00E+00	9.06E-01	0.00E+00
ENSG00000143198.8	1.1982118	0.2620524	0.3584231	0.277023	0.1422975	0.2087123	0.9052618	1.3712353
ENSG00000168542.8	0.17168753	1.13812449	0.14586169	0.04025214	2.34917445	0.05026863	0.8965135	0.02212089
ENSG00000135437.5	0	0.001599166	0.001306491	0.005323928	0.04112526	0.0043238	0.894689125	0.032614568
ENSG00000164692.13	0.16298651	0.91636839	0.23178703	0.03145565	2.10121931	0.04090331	0.89182383	0.88658767
ENSG00000187678.8	0.02626818	0	0.113992641	0.58976685	0.13322433	0.000198899	0.882633331	0.122351534
ENSG00000129993.10	0.04927133	0	1.08976035	0.41950442	0.08052497	0.08951579	0.8809529	0.13301767
ENSG00000164294.9	0.35343775	0.72398048	0.25171493	0.04467887	0.90947821	0.02169952	0.87280101	0.38309622
ENSG00000241399.2	0.1396516	0.3682324	0.6648601	0.1035728	1.3857636	0.8136503	0.8715289	0.1100727
ENSG00000117298.10	0.1715786	0.8147701	3.2154449	1.6673642	0.7642858	0.1744954	0.8668942	0.1809934
ENSG00000164687.6	0.11491485	0.81531795	2.84253385	1.58072933	0.15194305	0.06372797	0.86365675	0.04939352
ENSG00000138741.6	0.014694244	0	0	0.000943591	0.001081468	0	0.86267747	0.061483906
ENSG00000129422.9	0.45498253	0	0.6602473	0.36949248	0.15656304	0.35884227	0.86175709	0.08090692
ENSG00000123384.9	0.07321401	0.11779762	0.00106954	0.0110366	1.43538488	0.56443459	0.85875349	0
ENSG00000064651.9	0.02546719	0.04150743	0.02913871	0.07205829	0.03496213	0.05675916	0.85067132	0.13802728
ENSG00000196196.2	0.035291184	0.080125182	0.263869032	0.399661759	0.027690764	0.000121657	0.847808794	0.15363877
ENSG00000100196.6	0.136700336	0.079029804	0.239783254	0.057509691	0.92531999	0.000194119	0.844381847	0.203326109
ENSG00000143753.8	0.5233326	1.6476199	2.0812305	0.7675117	0.9962122	0.5330323	0.8416972	0.7903912
ENSG00000071575.7	0.012777919	0	0.208809998	0.526158431	0.036686137	0.000276661	0.834628805	0.18467881
ENSG00000126261.8	0.1942413	0.3463733	0.3718459	0.3505811	0.3163093	0.3446447	0.8303851	1.782123
ENSG00000184489.7	0.6104423	0	0.1580635	1.5170007	0.1671652	0.3474616	0.8262381	2.0561587
ENSG00000022267.12	0.546913169	0.280902812	1.041785337	0.315945592	1.261295671	0.000629163	0.825080847	0.377598813
ENSG00000109062.5	0.02757633	0.57833036	0.04930693	0.09005724	0.06077617	0.79392175	0.82092862	0.4199243
ENSG00000211445.7	3.95850916	0.008053335	0.036133425	0.235421239	2.319995009	0.189016863	0.806813678	0.049492922
ENSG00000081189.9	0.3458542	0.1533588	0.3865921	0.6171255	0.2628962	0.9193132	0.8061103	2.1239473
ENSG00000077616.6	0.041748428	0.007422162	0.028889922	0.028625543	0.595792769	0.000277567	0.805635114	0
ENSG00000166147.9	0.08346932	0.03391693	0.21142955	0.12319513	1.07819394	0.02386164	0.80117641	0.20305403
ENSG00000072952.14	0.277448717	0	0.000280243	0.006401882	0.041975435	0.131716418	0.800636004	1.224058201
ENSG00000120913.19	0.04063109	0.08487058	0.10656856	0.08211721	1.30189124	0.30736186	0.7972585	0.44460377
ENSG00000196569.7	0.218912884	0.121442306	0.004587079	0.02515145	1.091014271	0.000721705	0.794593736	0.438564382
ENSG00000179604.8	0.02076806	0.07216119	0.23687065	0.32109089	0.14133193	0.06229039	0.79344834	0.46481532
ENSG00000132640.10	0.057713372	0.049579425	0.098080559	0.182213993	0.077173565	0.004679071	0.792340837	1.418654966
ENSG00000106211.8	1.53542928	0.9550103	0.67063469	2.03468976	0.75878414	0.08080226	0.78761484	1.44978966
ENSG00000152268.8	0.036400645	0.194226416	1.401373334	0.004579127	0.954906116	0.019655326	0.784582337	0.201560609
ENSG00000109756.4	0.030968796	0.095689647	0.094844202	0.325551405	0.060273464	0.03877631	0.778462763	0.003964987
ENSG00000187479.4	0.008792468	0.047685349	0.024862609	0.014353799	0.005153324	0	0.775842072	1.161030238
ENSG00000148400.9	0.02819699	1.01969348	1.38693324	0.9791035	0.14665661	0.23316768	0.77554355	0.74863932
ENSG00000150687.7	0.3018257	2.840845809	0.061770765	0.082384317	1.068068078	0.000856392	0.774653919	1.579837914
ENSG00000197763.8	0.0454702	0	0.27994502	0.03569068	0.04800543	0.01630207	0.76665437	0.21209995
ENSG00000134013.11	0.014007313	0.638024269	0.040339153	0.028596822	0.186364833	0.001023524	0.764296549	0.139825677
ENSG00000161381.9	0.01572454	0	0.00790615	0.01495378	0.05685818	0.01903901	0.76406931	0.12000888
ENSG00000222040.3	0.0034065	0	0.000241092	0	0.006906987	0	0.756130324	0.51846929
ENSG00000142552.3	0.28364697	0.78837361	1.54898159	0.03948649	1.96169292	0.21072509	0.75530958	0.80214984
ENSG00000075391.12	0.04696872	0.1134112	0.26119037	0.26763154	0.05640071	0.05562728	0.75267754	0.05465355
ENSG00000174233.7	0.248607142	0.028977383	0.066888606	0.071812729	0.070421657	0.002433371	0.747163943	0.814340176
ENSG00000196924.10	0.08262223	0.49075661	0.20558135	0.25441677	0.38814585	0.73552749	0.74416577	1.88305232
ENSG00000069849.6	0.5098732	0.8336489	3.0434248	1.0360053	0.9550724	1.1663985	0.7433172	0.5492459
ENSG00000141540.6	0.02022111	1.09964402	0.02021019	0.1073994	0.15731178	0.137151	0.72802784	0.59095543
ENSG00000170412.12	0.015555425	0	0.043686324	0.013571983	0.002289928	0.112356839	0.724472692	0.80008839
ENSG00000186998.11	0.001350513	0	0.000172354	0.01363659	0.072469505	0.016218477	0.724234455	0.306724935
ENSG00000145936.4	0.00E+00	0.00E+00	1.81E-04	0.00E+00	2.46E-05	0.00E+00	7.24E-01	1.08E+00
ENSG00000167397.10	0.2084645	0.9815129	0.6703372	0.308799	1.1738956	0.4625578	0.7223005	0.643674
ENSG00000213977.3	0.2513837	2.2440592	0.4886956	0.8826685	0.5101438	0.3297745	0.7203677	0.4527667
ENSG00000248485.1	1.694911259	0	0.675150893	0.84437452	0.006835034	0.009518434	0.716084653	3.35122657
ENSG00000157227.8	0.001574407	0.920136566	0.281984833	0.044153415	0.934954114	0.016684595	0.714928016	0.194945203
ENSG00000105131.3	0.02742078	0	0	0.01244478	0	0	0.71161433	0.66588444
ENSG00000082438.11	0.161976239	0	0.101922472	0.04603553	0.017487291	0.003586289	0.707168564	0.819912912
ENSG00000162745.6	0.0597494	1.16894102	0.03333854	0.0192028	1.02865272	0.01527238	0.70469919	0.24726093
ENSG00000162733.12	0.095844946	0.001927546	0.047558139	0.031283167	0.916891435	0.001545579	0.704562624	0.18643842
ENSG00000162576.12	0.11168185	1.25173762	0.76604406	0.13807588	2.26210139	0.08121042	0.703154	0.42302165
ENSG00000125878.4	0.071630325	0	0.009952757	1.528490052	0.005300099	0	0.699099496	1.300779935
ENSG00000173267.9	3.12E-02	0.00E+00	5.10E-02	1.52E-01	5.21E-05	0.00E+00	6.99E-01	2.48E+00
ENSG00000115461.4	0.198680124	0.038298304	0.696838113	0.036695807	0.137408993	0.0006884	0.689874932	0.72953827
ENSG00000169902.9	0.07686176	0.27033289	0.25474364	0.70640516	1.31257372	0.16316386	0.67893519	0.66900793
ENSG00000131471.2	0.023759739	0.001355846	0	0.016067655	0.027711368	0	0.665903628	0.55079174
ENSG00000111052.3	0.001217087	0	0.000932032	0.000135845	0.002265878	0	0.661502869	0
ENSG00000132688.10	0.05385069	0.12560845	0.07943602	0.75058828	0.04222202	0.09182394	0.66114967	0.01051496
ENSG00000173801.12	0.50794025	0.25167823	0.52271957	1.98806769	0.40476898	0.28819807	0.65456543	0.06054429
ENSG00000144642.16	0.060282874	0.287116659	0.372863522	0.007800685	0.611023163	0.012037761	0.654272798	0.739208973
ENSG00000166165.8	0.47450394	2.2963019	0.05825688	0.29235612	1.3866166	1.23474967	0.64936729	2.7003148
ENSG00000121068.9	0.028278119	0	0	0.009634133	0.044562289	0.000414929	0.648721143	0.875327651
ENSG00000133561.11	0.114198744	0	1.039836048	2.102151248	0.004988157	0.319896391	0.644579608	0.001155204
ENSG00000166831.4	0.26278387	0	0.000340429	0.026224658	0.059617061	0	0.641483634	1.330388121
ENSG00000163072.10	0.009740563	0	0.450936874	0.179488322	0.000337397	0.119246478	0.637383627	0
ENSG00000181722.11	0.8671586	0.4589438	0.6957882	0.5746744	1.3900567	0.170278	0.6370209	0.3532036
ENSG00000122035.6	0.018786832	0	0.000333178	0.003426368	0.029652334	0.000168554	0.636691791	0.748999649
ENSG00000137409.14	0.5194476	0.6696583	0.9609833	0.8512317	1.6010461	0.5602693	0.6344815	0.1391526
ENSG00000112419.10	0.3454957	0.82258	2.0449281	0.7974679	0.4162109	0.3618281	0.6294906	1.0920902
ENSG00000065054.9	0.2171667	1.1970602	1.5982923	2.4663853	0.4012678	0.1270847	0.6207594	0.5436485
ENSG00000105974.7	1.135916203	0.004723414	2.211340167	3.774509567	0.30160738	0.002340449	0.618860434	2.150317536
ENSG00000139318.7	0.099093383	1.262079794	0.483211465	1.153181575	0.054650085	0.74754517	0.61348197	0.004185187
ENSG00000258818.2	0.21831151	0.99700949	0.97848634	0.03477536	2.06219345	1.37910792	0.60613233	0.017006
ENSG00000058272.11	0.2270516	0.2238459	0.3386727	0.3436805	0.1872601	0.1828418	0.6017558	1.6138248
ENSG00000111846.11	0.01691695	0.20435767	0.22194465	0.12892779	0.01026649	0.01628731	0.58978269	0.0405824
ENSG00000087245.8	0.184696171	1.0153322	0.223933298	0.031540041	2.854652558	0.037122201	0.584151525	0.002348765
ENSG00000125503.8	0.14181629	0.4849211	0.43849068	0.37049456	0.09091439	0.3111585	0.57886848	1.59809378
ENSG00000266964.1	1.459318266	2.250214528	0.072054907	0.033113697	0.930658983	0.007226061	0.571870472	1.38894882
ENSG00000164318.13	0.110614976	0.160056449	0.123013723	0.009276174	0.019219214	0	0.55960686	0.205708131
ENSG00000165194.10	0.02308043	0	0	0.11701896	0.11210309	0	0.55387053	0.19682678
ENSG00000086062.8	0.4274262	0.1660063	0.9020996	0.384232	1.2603605	0.6399394	0.5533932	0.4372497
ENSG00000145358.2	0.09392456	0	0	0.01573608	0.01671777	0	0.54343874	0.67363426
ENSG00000141905.13	0.1886425	0.5547211	0.2681781	0.2571106	0.8434657	0.2566939	0.5402456	0.2149903
ENSG00000120645.7	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.01E-05	0.00E+00	5.36E-01	0.00E+00
ENSG00000065882.11	0.59923206	0.13019179	0.05394473	0.09028035	0.0171049	0.12083562	0.53582067	0.19886153
ENSG00000049130.9	0.04398579	0.11426545	0.21775025	1.10076118	0.02443617	0.15945712	0.53083296	0.51508828
