Gene	cardiac_muscle_cell	cardiac_neuron	endocardial_cell	endothelial_cell	fibroblast	leukocyte	myofibroblast_cell	smooth_muscle_cell
ENSCAFG00000000637	0.02546719	0.04150743	0.02913871	0.07205829	0.03496213	0.05675916	0.85067132	0.13802728
ENSCAFG00000000522	0.082889653	0	0.702431941	0.300521182	0.013455256	0.000396137	0	0
ENSCAFG00000019449	0.2171667	1.1970602	1.5982923	2.4663853	0.4012678	0.1270847	0.6207594	0.5436485
ENSCAFG00000000097	0.019322959	0.526880931	0.012889312	0	0.000101702	0.005670906	0	0
ENSCAFG00000012119	0.04987078	0.02355328	0.1405274	0.3929557	0.02702619	0.20768248	1.426038	3.12651691
ENSCAFG00000016208	0.59923206	0.13019179	0.05394473	0.09028035	0.0171049	0.12083562	0.53582067	0.19886153
ENSCAFG00000005288	0.105956354	0	0.933115995	1.702647532	0.002936277	0.016898326	0.020552194	0
ENSCAFG00000012569	0	0.001927546	0.000518588	0.000812893	0.000403524	0.608558279	0.00023795	0.003964987
ENSCAFG00000010657	0.17748233	0.15231019	1.05653024	0.5490675	0.14380051	0.26494663	0.06707501	0
ENSCAFG00000011136	0.40677514	0.16325829	0.28200928	0.39018055	0.08525616	0.0572032	0.51235486	1.18742703
ENSCAFG00000007549	0.0889	0	7.77e-05	0.00419	0.000789	0	0.00993	0.39
ENSCAFG00000014309	0.05734309	0.09542297	0.0145856	0.28347807	0.01139923	0.11017508	1.17685464	0.25183828
ENSCAFG00000012066	0.116131287	0	0.051345486	0.046308202	0.152691673	0.00013923	3.05498754	0.181256323
ENSCAFG00000007731	0.5098732	0.8336489	3.0434248	1.0360053	0.9550724	1.1663985	0.7433172	0.5492459
ENSCAFG00000015916	0.000436829	0	0.250580502	0.10695981	0.001662293	0.009347837	0.025658755	0
ENSCAFG00000018163	0.243641229	0	0	0.008608357	0.004007537	0.001747168	0	0
ENSCAFG00000000828	0.1047074	0.19285692	1.05615802	0.21885898	0.01561183	0.03910138	0.00547578	0
ENSCAFG00000029053	0.012777919	0	0.208809998	0.526158431	0.036686137	0.000276661	0.834628805	0.18467881
ENSCAFG00000000052	0.0172	1.87	0	9.4e-05	0.0527	0.000416	0	0
ENSCAFG00000016534	0.010683472	0.022605501	0.086222047	0.043016862	0.017172072	0.007056758	0.122100579	0.358302135
ENSCAFG00000030121	0.007796171	0	0.150042606	0.108914625	0.002981181	1.11959206	0.018633173	0
ENSCAFG00000004355	0.539430467	1.430939255	0.137620684	2.369204269	0.454933246	0.004378269	0.149277706	0.613089394
ENSCAFG00000015503	0.119954405	0	0	0.000200166	0.007442546	0.024559287	0.034318442	0.297086255
ENSCAFG00000018436	0.09274494	1.34361113	0.24963117	0.12821191	0.19097686	0.11723866	0.3022498	0.0976286
ENSCAFG00000013035	0.002475346	0.926379452	0.000885826	0.002360036	0.005513227	1.755643012	0	0
ENSCAFG00000007609	0.277448717	0	0.000280243	0.006401882	0.041975435	0.131716418	0.800636004	1.224058201
ENSCAFG00000006968	0.10201158	0.56164725	0.06331903	1.33000426	0.02606829	0.29148007	0.0687482	0.03196424
ENSCAFG00000000700	0.25414014	0	0.000178576	0.003019628	0.002539574	0	0	0
ENSCAFG00000004816	0.011453689	0	0.064854845	0.071587149	0.001575014	0	0.023977163	0.485173185
ENSCAFG00000014102	0.036402335	0.622113863	0	0	0.004346556	0	0.029992695	0
ENSCAFG00000014843	0.49397586	0.63255488	0.58752444	0.8884974	0.42841448	0.03235025	1.40676715	1.06724753
ENSCAFG00000016107	0.004903828	0	0	0.016669774	0.008983142	0	1.192500406	0.828798823
ENSCAFG00000013971	0.081009214	0	0.000162725	0.068736825	0.045293271	0.082166837	0.337693322	0.581969266
ENSCAFG00000004093	0.30153842	0.59646413	0.1357497	2.5439988	0.18536821	0.02465483	0.15438115	0.71189727
ENSCAFG00000006388	0	0.157	0.0845	7.41e-05	0.099	0	0.0606	0.475
ENSCAFG00000031865	0.013510024	0.001599166	0.566762086	0.670997712	0.003710816	0.05795506	0.342384883	0.099682147
ENSCAFG00000015727	0.183899675	0.57799095	0	0.000714799	0.065277709	0.194145266	0.237959602	0.071168015
ENSCAFG00000014046	0.04696872	0.1134112	0.26119037	0.26763154	0.05640071	0.05562728	0.75267754	0.05465355
ENSCAFG00000016010	0.0202608	0.36912451	0.1059778	0.69708732	0.05155649	0.0329447	0.12597504	0.0870336
ENSCAFG00000012079	0.112883152	1.378899368	0.388999537	0.524667409	0.002279134	0.023822649	1.105644744	1.074165873
ENSCAFG00000010822	2.357030318	0.002189272	0.040034719	0.11688579	0.010064508	0.017829809	0.028631842	0
ENSCAFG00000004307	0.041748428	0.007422162	0.028889922	0.028625543	0.595792769	0.000277567	0.805635114	0
ENSCAFG00000005970	0.10023061	0.60289825	0.28666095	0.10690698	0.71836323	0.25258181	0.08837677	0.42671702
ENSCAFG00000000804	0.741527038	0.014983128	0.022887691	0.079613517	3.724313151	0.068557273	0.054105416	0.006675377
ENSCAFG00000004656	0	0	0.022180585	0.000196951	0.045902045	0.034609234	0.157697839	0.285718424
ENSCAFG00000003617	0	0.581911204	0	0	0.005012225	0.000422616	0.048169353	0
ENSCAFG00000010387	0	0	0	0.000152039	0.05798518	0.003828556	0.3490044	0
ENSCAFG00000019082	0.278649631	0	0.055227846	0.000481371	0.006110048	0	0	0
ENSCAFG00000007578	1.1091987	0.1360235	0.1212638	0.229784	0.1097524	0.1335043	0.3230996	1.2588239
ENSCAFG00000020007	0	0	0.183348584	0.031753856	0.012932767	0.016732618	0.002837289	0
ENSCAFG00000000184	0	1.304770213	0.023542626	0.000299131	0.000520831	0.000286262	0	0
ENSCAFG00000008302	0.3458542	0.1533588	0.3865921	0.6171255	0.2628962	0.9193132	0.8061103	2.1239473
ENSCAFG00000011265	0.000753091	0.001664448	0.00047364	0.012644463	0.000935224	1.23560548	0.001080214	0.002699835
ENSCAFG00000010652	0.02870896	0.12193561	0.109186	0.12400096	0.08591274	1.28870579	0.12536191	0
ENSCAFG00000010630	0.161976239	0	0.101922472	0.04603553	0.017487291	0.003586289	0.707168564	0.819912912
ENSCAFG00000010132	0.9616765	1.408701	3.4424453	2.2950515	1.3901492	1.0975431	1.5934785	1.7986471
ENSCAFG00000012368	0.00127	0	0.204	0.0049	0.000656	8.34e-05	0	0
ENSCAFG00000001835	0.009858104	0	0.015671717	0.380838538	0.006651782	0.000132184	0	0
ENSCAFG00000001840	0.4274262	0.1660063	0.9020996	0.384232	1.2603605	0.6399394	0.5533932	0.4372497
ENSCAFG00000007240	0.18648875	0	0.693575937	0.175339159	0.05603803	0.212772648	0.019047841	0.002016498
ENSCAFG00000014054	0.165679497	0	0.019446765	0.000149005	0.004778551	0.000392546	0.338563127	0.13683159
ENSCAFG00000000334	0.04437966	0.44461444	0.0197909	0.03336336	1.03647889	0.00121528	0.15644168	0
ENSCAFG00000009421	0.184696171	1.0153322	0.223933298	0.031540041	2.854652558	0.037122201	0.584151525	0.002348765
ENSCAFG00000009407	0.002637515	0.88648882	0.087952256	0.002097534	0.016048568	0.706239462	0.003573699	0.003989237
ENSCAFG00000011975	0.01583973	0.09372973	0.83336291	0.01720915	0.16270744	0.03498168	0.10497277	0
ENSCAFG00000006991	0.008735367	0.304911369	0.069324519	0.007831973	0.215457819	0.015553925	0.975074767	0.032084508
ENSCAFG00000005730	0.104750238	0.004436332	0.333623473	0.516737243	0.046068351	0.01251976	0.076658771	0.099682147
ENSCAFG00000006219	0	0	0	0	4.24e-05	0.216	0	0
ENSCAFG00000006608	0.049646998	0	0.100986252	0.009053046	1.267451585	0.000372935	0.000688577	0.002002804
ENSCAFG00000009300	0.021141693	0	0	0.004145444	0.001217004	0.031049813	0.000908137	0.600594436
ENSCAFG00000023556	0.000151704	0	0.002939501	0.170663914	0.012676882	0.685386862	0.037420018	0.001155204
ENSCAFG00000009189	0.764873903	0	0.070602455	0.014886644	0.014492965	0.000685192	0	0
ENSCAFG00000005133	0.28281054	0.80319098	2.0909442	1.46278763	2.32886161	0.06066211	1.68231177	0.21085122
ENSCAFG00000010019	0.10942415	1.22554695	0.14025779	0.02007831	0.1680185	0.033158	0.17441084	0.14156003
ENSCAFG00000013006	0.118500269	0.231833093	0.329324131	0.821891399	0.003916446	0.090609721	0.044221169	0.001155204
ENSCAFG00000013262	2.34483144	0	0.01236646	0.09518287	0.01870176	0.02540012	0.04207315	0
ENSCAFG00000010469	0.09450351	1.55417073	1.76891595	2.07142181	0.35525785	0.02065006	1.04907893	2.03860361
ENSCAFG00000010530	0.148838154	0.024458487	2.058078745	0.110198314	4.096636785	0.005742823	2.052586027	0.869924596
ENSCAFG00000011454	0.00057967	0	0.000310854	0.000938447	0.00913944	0.429870688	0.002236553	0.002016498
ENSCAFG00000042554	0.5691445	1.5240607	1.5646423	2.1240664	1.4562013	1.6065741	1.892007	3.1449613
ENSCAFG00000041354	0.5691445	1.5240607	1.5646423	2.1240664	1.4562013	1.6065741	1.892007	3.1449613
ENSCAFG00000024981	0.065543566	0	0.020411794	0.048129523	0.053783547	0.008463007	0.411604239	0.564979415
ENSCAFG00000020263	0.018670279	0.002808431	2.012028201	0.266477953	0.010432791	0.536357042	0.116818911	0.002016498
ENSCAFG00000020118	0.04361122	0.11457455	0.47967424	1.18586296	0.06125263	0.06962486	0.30277857	0.13797119
ENSCAFG00000008270	0.93181517	1.48813158	0.56889701	0.7826367	0.19369385	0.06001005	0.25248933	1.40268888
ENSCAFG00000009570	1.021318636	0	0.013080351	0.000310842	0.01609241	0.009787511	0	0
ENSCAFG00000009663	0.10545343	1.80713728	0.28796552	0.05974197	0.26485017	0.02981693	0.19683143	0.02078058
ENSCAFG00000003776	0.3502007	0.7651987	2.6060537	2.6900172	1.0789733	1.1646246	1.6190411	0.4689445
ENSCAFG00000020053	0.403944617	0	0.651771189	0.894656571	0.005144253	0.000882074	0.016193332	0
ENSCAFG00000013957	0.075961427	2.026864276	0.004595518	0.647478537	0.015874699	0.000103976	1.068320673	0
ENSCAFG00000019716	0.00468	0.188	0	0.000304	1.28e-05	0	0	0
ENSCAFG00000014232	0.005987628	0.72613919	0	0	0.026775451	0.004725704	0.149850944	0.011911476
ENSCAFG00000015271	0.006779472	1.125960849	0.001498798	0.000724802	0.001376932	0.008478842	0	0
ENSCAFG00000015440	0.03996784	0.13906207	0.23258014	0.48248722	0.02730843	0.03714738	0.03553836	0
ENSCAFG00000001506	0.000471458	0.001664448	0.000778042	0.01136566	0.001706391	1.369832707	0.001363827	0.00412
ENSCAFG00000001503	0	0	0.117717061	0.435909992	0.000502305	0.146414363	0.000459621	0.003989237
ENSCAFG00000016577	0.7384852	1.244604	0.3201323	0.2605033	1.796251	1.4687214	1.7613399	1.7118991
ENSCAFG00000001487	0.7384852	1.244604	0.3201323	0.2605033	1.796251	1.4687214	1.7613399	1.7118991
ENSCAFG00000001436	0	1.41	0.000718	6.64e-05	0.00221	0.00752	0.000181	0
ENSCAFG00000001402	0.136700336	0.079029804	0.239783254	0.057509691	0.92531999	0.000194119	0.844381847	0.203326109
ENSCAFG00000032609	0	0	0.008723928	0.008496663	0.009091932	0	0.063197419	0.479376936
ENSCAFG00000001356	0.0685	0.485	0.0688	0.671	6.67e-05	0.103	0.0378	0.00395
ENSCAFG00000001337	0.777599114	0	0.000474346	0.015408856	0.00184682	0.011984457	0.000192952	0.002016498
ENSCAFG00000001522	0.000396537	0	0.000662172	0.000590591	0.000326183	0.649903896	0.000590958	0.002016498
ENSCAFG00000010958	0.015383908	0.008740167	0.043709906	0.330867071	0.00060681	0.164238685	0.004967495	0.002016498
ENSCAFG00000017612	1.316537104	0	0.000175352	0.007475243	0.218194919	0.065247295	0.065448343	1.403869699
ENSCAFG00000007945	0	0	0.315410892	0.057080766	0.006863933	0.008053179	0.19181491	0.270454029
ENSCAFG00000008540	0.99461254	0.66515183	0.10741413	0.06190769	0.5020474	0.03106472	2.26862239	4.20562536
ENSCAFG00000050012	0.99461254	0.66515183	0.10741413	0.06190769	0.5020474	0.03106472	2.26862239	4.20562536
ENSCAFG00000007122	0.023649494	0	0.000155056	0.001780177	0.000995605	0.750847391	0.000450879	0
ENSCAFG00000005627	0.02876268	0.73792198	0.43124758	0.23165502	0.25513728	0.07356075	1.00822166	1.08489534
ENSCAFG00000009017	0.018860344	0	0.615853578	0.955855275	0.002906803	0.059327135	0.000904005	0
ENSCAFG00000018478	1.043100503	0.115812635	0	0.001045185	0.002405385	0.065536271	0.019402641	0.715090042
ENSCAFG00000012063	0.009525629	0	1.329798607	0.013018757	0.001789285	0.009431357	0	0
ENSCAFG00000017445	0.022300393	0	0.426972726	0.192816155	0.001293194	0	0	0
ENSCAFG00000004411	0.000469623	0	0.295553859	0.000581572	0.005435129	0	0	0.021668076
ENSCAFG00000007161	0.913484794	0	0	0.013048741	0.001224503	0	0.03691743	0
ENSCAFG00000006701	0.148755362	0	1.176282973	1.956339033	0.014332007	0.000832206	0.08919877	0
ENSCAFG00000004584	1.6094753	0.0150675	2.0329198	2.1122924	0.8582626	0.1622607	1.9888395	2.7193503
ENSCAFG00000017110	0.00439819	0.005993347	0.002972267	0.016015274	0.00543482	2.438681498	0.005552321	0.002016498
ENSCAFG00000008544	0.102861136	0.410267425	0.006667109	0.35951219	0.000791729	0.005720221	0.184112374	0.001155204
ENSCAFG00000020310	0.001739989	0.211872759	0.165416157	0.003899315	0.023777562	0.009722378	0	0.002016498
ENSCAFG00000032529	0.001117168	0.58411873	0.016090164	0.02537019	0.134948654	1.380155456	0.05548036	0.003946258
ENSCAFG00000019943	0.110116582	0	0.018548955	0.030153375	2.096769283	0.001424005	0.366759623	0.296651772
ENSCAFG00000009755	0.000643914	0	0.232671345	0.000169293	0.00066733	0	0	0
ENSCAFG00000018092	0	0	0	0	0	0	0.08947769	0.05109215
ENSCAFG00000014189	0.00506	1.47	0	0.00039	6.78e-05	0.00108	0	0
ENSCAFG00000014076	0.27547113	0.12840263	2.6693961	0.05239256	0.7916727	2.45135594	0.07105802	0.01627335
ENSCAFG00000015489	0.000425017	0.499753658	0.027009177	0.00953351	0.007491917	0	0.017581075	0
ENSCAFG00000006953	0.029267565	0	0.234747683	0.009495366	1.08909745	0.000129805	0.147194333	0
ENSCAFG00000006873	0.009958517	0.27636741	0.055982229	0.036026724	0.006090107	0.021556803	0.045450269	0.048181663
ENSCAFG00000042547	0.009958517	0.27636741	0.055982229	0.036026724	0.006090107	0.021556803	0.045450269	0.048181663
ENSCAFG00000046803	0.009958517	0.27636741	0.055982229	0.036026724	0.006090107	0.021556803	0.045450269	0.048181663
ENSCAFG00000005737	0.144556065	2.279521301	0.015053971	0.00720126	1.050430057	0.030961313	0.000393817	0.001341848
ENSCAFG00000001141	0.071875267	1.804268011	0.344010031	0.637596897	0.130276485	0.031997225	0.000634854	0.226269528
ENSCAFG00000005874	0	0.001498604	0	0.000867727	0.000104708	0.031116914	0.15484264	0
ENSCAFG00000004507	2.40123238	0	0.04906893	0.08982469	0.01174865	0.04365593	0.05377374	0
ENSCAFG00000003709	0.001057297	0	0.000471322	0.002089173	0.011005103	0.613916272	0.002916605	0.00268614
ENSCAFG00000029522	0.02742078	0	0	0.01244478	0	0	0.71161433	0.66588444
ENSCAFG00000019114	0	0	0.000341033	0.000217725	0.000209214	0.348199196	0	0
ENSCAFG00000004201	0.01354319	0.35161677	0.12241136	0.05811808	0.94710128	0.24767063	0.41550391	0.40560632
ENSCAFG00000004256	0.02834021	0	0.2184943	0.52940474	0.04642803	0.02264258	0.16489488	0.0533627
ENSCAFG00000003910	0.10205839	0.00113142	1.02170377	1.41314404	0.01166283	0	0.05607546	0
ENSCAFG00000014616	0	0	1.703345305	0.002325432	0.029543159	0.003348864	0.00029476	0.162307678
ENSCAFG00000031172	0.000271336	0.560196453	0	0.002258077	0.00467391	0.000315557	0.008406282	0
ENSCAFG00000003977	0.005262125	0	0.011454871	0.00636242	0.000131585	0.230540609	0	0
ENSCAFG00000003369	0.009007383	1.188446256	0.019653118	0.011506366	0.062762089	0.001598662	0.039529375	0
ENSCAFG00000003402	0.16648491	0.05370478	0.96485589	1.75570028	0.0799843	0.1372018	0.40027233	0.41272962
ENSCAFG00000003404	1.135916203	0.004723414	2.211340167	3.774509567	0.30160738	0.002340449	0.618860434	2.150317536
ENSCAFG00000013396	0	0	0.000172652	0.000139559	0.001297644	0.910775743	0	0
ENSCAFG00000013544	1.53542928	0.9550103	0.67063469	2.03468976	0.75878414	0.08080226	0.78761484	1.44978966
ENSCAFG00000003510	0.004406786	0.900379947	0.004587079	0.008129569	0.004828928	0.000112376	0	0.005332721
ENSCAFG00000014322	0.310428212	0.45166759	0.007276629	0.215270678	1.623746778	0.061656287	1.486672158	0.483159158
ENSCAFG00000002432	0.205079871	0.003263614	1.388013602	2.887510859	0.007501532	0.391117639	0.380577542	0.01261343
ENSCAFG00000004555	0.09380857	2.37114273	0.03318782	0.03821367	1.44430098	0.01866158	1.85555614	1.19989825
ENSCAFG00000004585	0.4720832	1.3041843	2.1167386	0.4966631	0.156502	2.6715011	0.9328898	0.5688004
ENSCAFG00000002917	0.020120166	0.177835557	0.170853952	0.051450903	0.798582069	0.001919324	0.016777789	0
ENSCAFG00000002067	0.008721991	0	0	0.28045144	0.000306622	0	0	0
ENSCAFG00000001646	0.13395921	0	0.02284148	0.01494272	0.02352523	0.90266538	0.09547642	0
ENSCAFG00000049181	0.000136749	0.776019252	0.115041547	0.049039957	0.031253922	0.000223577	0.026351127	0
ENSCAFG00000002313	0.256319883	0	0.001420705	0.006552104	1.374011658	0.046333966	0.009703119	0.001107941
ENSCAFG00000002307	0.017990522	0	0.000233561	0.003637757	0.335320278	0.000704558	2.073103072	1.42069272
ENSCAFG00000020106	0.2055767	1.3488548	4.0661174	2.517896	0.6464831	0.2401052	1.3675229	0.2784282
ENSCAFG00000001957	0.000493145	0	0.019978512	0.016748386	0.008154308	0.44347417	0	0.080969846
ENSCAFG00000001974	0.155566054	0	1.255756284	0.021990734	0.102304977	0.001561343	0.193208658	1.025400648
ENSCAFG00000007010	0.033320305	0.679451253	0.000492059	0.038736943	0.002097459	0.946164126	0.398706318	0.012559219
ENSCAFG00000007026	0.16781335	0.42443661	0.04474732	2.36538234	1.2303662	0.06376607	2.64336247	0.85923596
ENSCAFG00000015708	0.263138777	0.002247684	0.00418959	0.017554207	0.116687396	0.015631324	1.656060696	5.69528509
ENSCAFG00000032043	0.77569993	0.02313081	0.02458056	0.03708526	0.03535113	0.03010815	0.06700173	0.0791908
ENSCAFG00000015802	2.72284093	0.11889982	0.02355416	0.10465187	0.041775	0.05079916	0.09145456	0.27805802
ENSCAFG00000018451	0.123387561	0	0.038392719	0.233144837	0.008226691	0.000111069	0.149780857	1.963052924
ENSCAFG00000019005	0.226302	0.590882	0.4059048	0.2932684	0.2944911	0.2569794	0.4473776	1.7542025
ENSCAFG00000011802	0.098955631	0.003058965	1.523008552	1.645362029	0.004208309	0.094713656	0.040812423	0.001057835
ENSCAFG00000016920	0.014669323	0.001599166	0.393298368	0.296073456	0.004174004	0.038353368	0.033303379	0.007171262
ENSCAFG00000017018	0.077335571	0.513848459	0.002539966	0.020170758	1.423901373	0.028862286	0.389708778	0.136776585
ENSCAFG00000017013	0.643	0	0	0	5.28e-05	0	0	0.386
ENSCAFG00000004599	0.02757633	0.57833036	0.04930693	0.09005724	0.06077617	0.79392175	0.82092862	0.4199243
ENSCAFG00000018672	0.013185434	0	0.00136393	0.032589908	0.006457194	0.000100025	3.827495825	0.463179811
ENSCAFG00000018663	0.3153934	0.4497422	1.0918513	1.6866864	0.3233898	0.2481722	1.2943855	0.6548816
ENSCAFG00000017913	0.2384644	2.7301148	0.963655	0.3234288	2.3776323	1.3178017	1.0824286	0.6626705
ENSCAFG00000002202	0.255204783	0	0	0.000551357	0.009963767	0	0	0
ENSCAFG00000009396	0.456713078	0	0.025739975	0.008020987	0.005338529	0.01428101	0	0
ENSCAFG00000003624	0.075957781	0	0.000665472	0.006478225	0.00653767	0.02795527	0.357898678	0.493177034
ENSCAFG00000008861	1.145497472	0.004981761	3.429979845	0.158925195	1.017310851	0.013838955	1.987210607	1.537252316
ENSCAFG00000016498	0.12451005	0.52769186	0.60026694	0.04378009	2.29957569	0.01975702	2.30091678	1.35004537
ENSCAFG00000008719	0.030968796	0.095689647	0.094844202	0.325551405	0.060273464	0.03877631	0.778462763	0.003964987
ENSCAFG00000016519	0.37003715	0	0.00228056	0.009840695	0.013476074	0	0	0
ENSCAFG00000014074	2.68084904	2.55716608	0.72971163	0.16636127	0.66194964	0.05332994	0.39489469	1.43021211
ENSCAFG00000004384	0.257587873	0.581159052	0.018819646	0.022632666	0.023758481	3.115316469	1.160013434	0.005332721
ENSCAFG00000007693	0.000153231	0	0.00016505	0.010628598	0.00075074	0.550268712	0.000590958	0
ENSCAFG00000010365	0.008237044	0	0.000549031	0.007218172	1.145036916	0.013568945	0.058223879	0
ENSCAFG00000005619	0.214582803	0.154543026	0.067580807	0.007518943	0.066923471	0	1.025626246	0.681610649
