AccID	FC	FDR	Style
CCM2L	1.84	0.007845	up
IL1RL2	0.59	0.008189	down
RTN4RL2	2.05	0.008234	up
EVA1B	1.88	0.008333	up
TNFSF18	0.11	0.008367	down
POLR2I	1.56	0.008807	up
RAP1GAP	0.58	0.008841	down
TPRKB	0.65	0.008902	down
DUSP23	1.57	0.008989	up
LOC101927435	0.49	0.009065	down
ZNF138	0.59	0.009312	down
SCNN1D	0.62	0.009354	down
MAP2K3	1.58	0.009809	up
TG	0.57	0.010069	down
TC2N	0.57	0.010113	down
TEX12	0.47	0.01019	down
SPIRE2	0.61	0.010868	down
PBK	8.43	0.011101	up
MYO15B	0.65	0.011353	down
TAS2R3	0.58	0.01161	down
PRRT2	0.59	0.011959	down
LOC100506388	1.77	0.012175	up
EXOC3L4	0.60	0.012198	down
SAA1	0.16	0.012942	down
EPB41L4B	0.60	0.013385	down
SAMD12	0.56	0.013579	down
GOLGA8B	0.53	0.013653	down
PLXNC1	0.58	0.013668	down
CACNA1G	0.24	0.013687	down
LOC102723503	0.41	0.013894	down
LOC105373801	0.59	0.014114	down
GRIP1	0.66	0.014132	down
BMP3	0.15	0.014145	down
CACNA2D3	0.62	0.014514	down
KIAA1644	2.31	0.01478	up
C11orf87	0.11	0.014858	down
CASR	0.05	0.01513	down
FGFR2	0.47	0.015441	down
CHCHD5	1.53	0.015716	up
PLCB2	0.65	0.015846	down
CARD10	1.69	0.016013	up
NEURL1B	1.80	0.016033	up
PDGFB	1.87	0.01663	up
FGF7	0.61	0.016916	down
ANKRD36B	0.56	0.016921	down
FOXM1	7.84	0.01698	up
VCPKMT	0.64	0.017144	down
REN	7.16	0.017335	up
ASIC4	0.25	0.017791	down
PKN3	1.52	0.018155	up
MALL	2.17	0.018291	up
TMSB15A	3.26	0.018323	up
RPS15	1.61	0.019097	up
CLEC2D	0.58	0.019469	down
BIRC5	7.91	0.019664	up
RPL27	1.71	0.019844	up
FAM132B	2.73	0.020208	up
TMEM88	2.12	0.02036	up
DNAH14	0.45	0.02063	down
LHX6	3.05	0.020689	up
MRO	0.46	0.020905	down
MRPL34	1.54	0.021466	up
PRND	9.16	0.021513	up
NKAIN2	0.55	0.021522	down
GPR37	0.21	0.021739	down
GRID2	0.38	0.022099	down
EFHD1	1.60	0.022233	up
IRAK2	0.67	0.022278	down
UBE2S	1.88	0.022356	up
PHF21B	0.51	0.02328	down
CD320	1.65	0.023729	up
C9orf24	1.68	0.024193	up
ARNTL	0.45	0.024272	down
LOC105371026	0.58	0.025261	down
MSS51	0.64	0.025409	down
ERP27	0.61	0.025495	down
LRRC32	1.73	0.025639	up
NOVA2	1.59	0.026341	up
LIN7B	1.58	0.026594	up
FERMT1	0.54	0.026929	down
SLC35E4	1.63	0.027098	up
ZNF99	0.45	0.027707	down
TMPRSS5	0.62	0.027953	down
PPM1L	0.63	0.028395	down
RAD51B	0.56	0.029095	down
KIF26A	1.74	0.029588	up
SOX7	1.58	0.029719	up
SGK494	0.62	0.030435	down
SLC26A7	0.50	0.030845	down
FAM153B	0.23	0.031095	down
MSTN	0.40	0.031198	down
MAATS1	0.60	0.031314	down
LSAMP	0.49	0.031427	down
GGT5	1.57	0.031835	up
FLRT2	0.65	0.03349	down
C10orf113	0.38	0.033603	down
ZNF534	0.50	0.035242	down
UGT3A2	0.16	0.036139	down
LOC105373280	0.59	0.036694	down
EXOC3L1	2.16	0.037131	up
DNAH6	0.58	0.037215	down
PLA2G2D	0.20	0.037224	down
CCNL1	0.66	0.038059	down
INA	0.06	0.038417	down
CXCR1	4.86	0.03904	up
ATP5I	1.54	0.039419	up
STXBP5L	0.32	0.040181	down
ITIH4	0.60	0.040229	down
GIPC3	1.83	0.042822	up
CRIP1	1.58	0.04422	up
ALDH8A1	0.45	0.044723	down
AVPR2	1.98	0.045315	up
CXCR2	5.06	0.046003	up
EXOC3L2	1.77	0.046105	up
OTOGL	0.49	0.046195	down
CLHC1	0.56	0.046668	down
FAM71F2	0.59	0.047231	down
FAM43A	1.94	0.047652	up
VEGFC	1.66	0.048219	up
PRSS45	0.18	0.048766	down
KDF1	0.26	0.048825	down
ADGRD2	0.11	0.049131	down
CXCL9	0.15	0.049143	down
FAM64A	6.77	0.049717	up
